Ausztria,Bécs,1995
Belgium,Brüsszel,1952
Bulgária,Szófia,2007
Horváthország,Zágráb,2013
Ciprus,Nicosia,2004
Csehország,Prága,2004
Dánia,Koppenhága,1973
Észtország,Tallinn,2004
Finnország,Helsinki,1995
Franciaország,Párizs,1952
Németország,Berlin,1952
Görögország,Athén,1981
Magyarország,Budapest,2004
írország,Dublin,1973
Olaszország,Róma,1952
Lettország,Riga,2004
Litvánia,Vilnius,2004
Luxemburg,Luxemburg,1952
Málta,La Valetta,2004
Hollandia,Hága,1952
Lengyelország,Varsó,2004
Portugália,Lisszabon,1986
Románia,Bukarest,2007
Szlovákia,Pozsony,2004
Szlovénia,Ljubljana,2004
Spanyolország,Madrid,1986
Svédország,Stockholm,1995
